height,timestamp,difficulty
667296,1611403017,20823531150111.52
669312,1612578303,21434395961348.92
671328,1613772036,21724134900047.27
673344,1614997708,21448277761059.71
675360,1616184405,21865558044610.55
677376,1617328801,23137439666472.05
679392,1618515703,23581981443663.85
681408,1619900822,20608845737768.16
683424,1620896338,25046487590083.27
685440,1622337521,21047730572451.55
687456,1623614836,19932791027262.74
689472,1625294046,14363025673659.96
691488,1626564737,13672594272814.14
693504,1627706126,14496442856349.12
695520,1628834027,15556093717702.55
697536,1629902476,17615033039278.88
699552,1631061045,18415156832118.24
701568,1632234876,18997641161758.95
703584,1633390519,19893045048575.13
705600,1634588757,20082460130830.84
707616,1635710370,21659344833264.85
709632,1636866927,22674148233453.11
711648,1638095408,22335659268936.39
713664,1639216857,24195286980613.62
715680,1640422999,24272331996979.97
717696,1641627937,24371874614345.62
719712,1642734490,26643185256535.46
721728,1643942057,26690525287405.5
723744,1645096491,27967152532434.23
725760,1646324511,27550332084343.84
727776,1647538808,27452707696466.39
729792,1648700729,28587155782195.14
731808,1649925939,28225928151211.1
733824,1651072835,29794407589312.08
735840,1652226078,31251101365711.12
737856,1653490985,29897409688833.63
739872,1654686448,30283293547736.68
741888,1655925489,29570168636357.99
743904,1657153358,29152798808271.88
745920,1658427282,27692567959233.59
747936,1659617683,28174668481289.41
749952,1660820877,28351606743493.77
751968,1661928055,30977051760460.06
753984,1663097346,32045359565303.14
756000,1664333794,31360548173144.85
758016,1665399506,35610794164371.65
760032,1666569091,36835682546787.98
762048,1667781163,36762198818467.21
764064,1668986059,36950494067222.41
766080,1670291429,34244331613176.18
768096,1671463076,35364065900457.12
770112,1672719770,34093570325203.84
772128,1673817110,37590453655497.09
774144,1674972641,39350942467772.63
776160,1676188371,39156400059293.19
778176,1677288852,43053844193928.45
780192,1678484890,43551722213590.37
782208,1679609802,46843400286276.55
784224,1680795199,47887764338536.25
786240,1681984653,48712405953118.43
788256,1683214087,48005534313578.78
790272,1684386462,49549703178592.68
792288,1685557167,51234338863442.89
794304,1686742062,52350439455487.47
796320,1687992515,50646206431058.09
798336,1689128979,53911173001054.59
800352,1690375347,52328312063443.84
802368,1691584068,52391178981379.36
804384,1692724599,55621444139429.57
806400,1693967242,54150142369480
808416,1695114421,57119871304635.31
810432,1696319920,57321508229258.04
812448,1697455965,61030681983175.59
814464,1698638003,62463471666732.73
816480,1699806273,64678587803496.61
818496,1700957763,67957790298897.88
820512,1702180644,67305906902031.39
822528,1703311464,72006146478567.1
824544,1704501692,73197634206448.34
826560,1705761155,70343519904866.8
828576,1706888526,75502165623893.72
830592,1708008110,81725299822043.22
832608,1709253937,79351228131136.77
834624,1710397689,83947913181361.55
836640,1711619463,83126997340024.61
838656,1712783853,86388558925171.02
840672,1713970312,88104191118793.16
842688,1715252414,83148355189239.77
844704,1716445130,84381461788831.34
846720,1717664663,83716654861184.52
848736,1718875797,83675262295059.9
850752,1720149673,79495195323031.48
852768,1721322584,82047728459932.75
854784,1722417212,90666502495565.78
856800,1723679961,86871474313761.95
858816,1724855515,89471664776970.77
860832,1726025157,92671576265161.06
862848,1727293228,88404402370999.9
864864,1728456399,92049594548485.47
866880,1729620301,95672703408223.94
868896,1730759288,101646843652785.2
870912,1731962532,102289407543323.8
872928,1733153640,103919634711492.2
874944,1734312810,108522647629298.2
876960,1735509337,109782075598905.2
878976,1736712111,110451907374649.5
880992,1737948173,108105433845147.2
883008,1739093587,114167270716407.6
885024,1740342578,110568428300952.7
887040,1741535926,112149504190349.3
889056,1742728542,113757508810854
891072,1743861026,121507793131898.1
893088,1745054017,123234387977050.9
895104,1746306013,119116256505723.5
897120,1747490516,121658450774825
899136,1748649690,126982285146989.3
901152,1749865604,126411437451912.2
903168,1751174596,116958512019762.1
905184,1752295354,126271255279307
907200,1753492589,127620086886391.8
909216,1754686386,129435235580344.8
911232,1755895678,129699156960680.9
913248,1757050390,136039872848261.3
915264,1758206848,142342602928674.9
917280,1759348633,150839487445890.5
919296,1760594746,146716052770107.5
921312,1761732893,155973032196071.9
923328,1762972230,152271405447597.4
925344,1764206208,149301205959699.9
